osm_id,code,fclass,population,name,objectid2,province,district,tehsil,lat,lng
9247165735,1003,village,0,کڑیاں والا,344,PUNJAB,KASUR,KASUR,31.0194,74.2353
9247165736,1003,village,0,محمد پور,344,PUNJAB,KASUR,KASUR,31.0133,74.2375
9247165737,1003,village,0,Kot Alam Wala,344,PUNJAB,KASUR,KASUR,31.0049,74.2237
9247165738,1003,village,0,آرآئیاں والا,344,PUNJAB,KASUR,KASUR,31.0027,74.2206
9247165739,1003,village,0,کنگھراں والا,344,PUNJAB,KASUR,KASUR,31.0032,74.214
9247165740,1003,village,0,کھائ ھٹھاڑ,344,PUNJAB,KASUR,KASUR,30.9748,74.2157
9247165741,1003,village,0,سنگرہ,344,PUNJAB,KASUR,KASUR,30.9846,74.1913
9247165742,1003,village,0,راجوال کہنا,344,PUNJAB,KASUR,KASUR,30.9736,74.1805
9247165743,1003,village,0,سکندر پور,343,PUNJAB,KASUR,CHUNIAN,30.974,74.1562
9247165744,1003,village,0,بھیمکے,343,PUNJAB,KASUR,CHUNIAN,30.9728,74.1142
9247165745,1003,village,0,چاھرکے,343,PUNJAB,KASUR,CHUNIAN,30.9803,74.114
9247165746,1003,village,0,ٹبہ منڈیکے,343,PUNJAB,KASUR,CHUNIAN,30.9722,74.0874
9247165747,1003,village,0,بالی,343,PUNJAB,KASUR,CHUNIAN,30.9719,74.0634
9247165750,1003,village,0,کوٹ جنڈیاں والا,343,PUNJAB,KASUR,CHUNIAN,30.9686,74.0639
9247165751,1004,hamlet,0,کوٹ پروبیرہ,343,PUNJAB,KASUR,CHUNIAN,30.9715,74.0469
9247165752,1004,hamlet,0,بدو جیوانہ,343,PUNJAB,KASUR,CHUNIAN,30.9636,74.031
9247165753,1004,hamlet,0,چاہ فتح والا,343,PUNJAB,KASUR,CHUNIAN,30.9549,74.0282
9247165754,1003,village,0,ستوکی,343,PUNJAB,KASUR,CHUNIAN,30.9502,74.0348
9247165755,1004,hamlet,0,Jandi Wala,343,PUNJAB,KASUR,CHUNIAN,30.9486,74.014
9247165756,1003,village,0,میرکوٹ,343,PUNJAB,KASUR,CHUNIAN,30.9442,74.004
9247165757,1003,village,0,چاہ عالم والا,343,PUNJAB,KASUR,CHUNIAN,30.9403,73.9899
9247165758,1003,village,7228,جام شیر خورد,343,PUNJAB,KASUR,CHUNIAN,30.9281,74.0115
9247165777,1004,hamlet,0,جودھے والا,343,PUNJAB,KASUR,CHUNIAN,30.9159,74.0105
9247165778,1003,village,0,نیناں والا کوٹ,343,PUNJAB,KASUR,CHUNIAN,30.9135,74.0144
9247165779,1003,village,0,دھوپ سڑی,343,PUNJAB,KASUR,CHUNIAN,30.9164,74.0217
9247165780,1003,village,0,مفت پورہ,343,PUNJAB,KASUR,CHUNIAN,30.9202,74.0298
9247165787,1003,village,0,بہاری پور,343,PUNJAB,KASUR,CHUNIAN,30.9208,74.0421
