osm_id,code,fclass,name,objectid2,province,district,tehsil,lat,lng
5071824696,2512,clothes,Minnie Minors,0,SINDH,KARACHI,KIAMARI TOWN,24.8164,67.0206
5072650923,2084,college,Roots,197,FEDERAL CAPITAL TERRITORY,ISLAMABAD,ISLAMABAD,33.6625,73.0575
5072650924,2721,attraction,Noman Home,401,PUNJAB,RAWALPINDI,RAWALPINDI,33.5606,73.0432
5074875222,2401,hotel,Bhurban Apt,400,PUNJAB,RAWALPINDI,MURREE,33.9551,73.4519
5075070321,2082,school,Perfect English program institation,130,BALOCHISTAN,QUETTA,QUETTA CITY,30.1839,66.9666
5075088725,2725,artwork,Classic studio PCO,130,BALOCHISTAN,QUETTA,QUETTA CITY,30.1802,66.9674
5075088726,2725,artwork,PCO,130,BALOCHISTAN,QUETTA,QUETTA CITY,30.1821,66.9678
5075094421,2602,atm,,130,BALOCHISTAN,QUETTA,QUETTA CITY,30.1816,66.9634
5075094521,2542,bicycle_shop,Bicycle repair Shop,130,BALOCHISTAN,QUETTA,QUETTA CITY,30.1831,66.9702
5075276321,2302,fast_food,مکڈونلڈز,354,PUNJAB,LAHORE,LAHORE CANTT,31.5387,74.3365
5075321621,2501,supermarket,Carrefour,354,PUNJAB,LAHORE,LAHORE CANTT,31.4711,74.3557
5075761797,2252,pitch,,0,SINDH,KARACHI,SADDAR TOWN,24.8291,67.0465
5075761801,2082,school,Zaheen Academy,0,SINDH,KARACHI,SADDAR TOWN,24.8275,67.0445
5075761804,2082,school,Govt Girls Secondary School,0,SINDH,KARACHI,SADDAR TOWN,24.8264,67.0457
5076760321,2012,community_centre,National Housing Community Center,0,SINDH,KARACHI,GULSHAN E IQBAL TOWN,24.9078,67.1063
5076899982,2012,community_centre,Four Seasons Marriage Lawn,0,SINDH,KARACHI,GULSHAN E IQBAL TOWN,24.9052,67.1124
5076910152,2082,school,Oak Academy,0,SINDH,KARACHI,GULSHAN E IQBAL TOWN,24.9082,67.107
5076913421,2502,bakery,Gourmet Bakery.,354,PUNJAB,LAHORE,LAHORE CANTT,31.4604,74.3037
5076920407,2301,restaurant,Shan e Mughlia Resturant,0,SINDH,KARACHI,GULSHAN E IQBAL TOWN,24.9027,67.1116
5077077057,2252,pitch,Ibn e Qasim Cricket Stadium,0,SINDH,KARACHI,NEW KARACHI TOWN,24.994,67.0794
5077789122,2725,artwork,Arctic zone,0,SINDH,KARACHI,KIAMARI TOWN,24.9716,66.9141
5078076321,2009,courthouse,Jamal Khan House. Shellpump Mohallah Madina Colony Dab no 2,259,KHYBER PAKHTUNKHWA,MANSEHRA,MANSEHRA,34.3186,73.1961
5078247524,2110,hospital,Idreesia Medical Complex,326,PUNJAB,GUJRANWALA,GUJRANWALA CITY,32.1537,74.1472
5078247525,2120,doctors,,330,PUNJAB,GUJRAT,GUJRAT,32.591,74.0639
5078274321,2082,school,Fedral School,325,PUNJAB,GUJRANWALA,GUJRANWALA,32.0945,74.1797
5078966591,2601,bank,ایچ بی ایل پاکستان,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9078,67.0264
5078966592,2501,supermarket,Friends Mart,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9078,67.0261
5078966593,2101,pharmacy,Mulsim Medical Store,0,SINDH,KARACHI,LIAQATABAD TOWN,24.907,67.025
5078966595,2082,school,Karachi Cambridge Secondary School,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9065,67.0247
5078966596,2301,restaurant,Agha Juice,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9052,67.0279
5078966597,2601,bank,بينک الحبيب,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9056,67.0266
5078966608,2082,school,Ideal Federal High School,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9095,67.0283
5078966617,2110,hospital,Zeb Medical Center,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9092,67.0254
5078966618,2082,school,Elegant Secondary School,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9095,67.0236
5078977925,2502,bakery,Aslam Bakery,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9047,67.0276
5078977928,2007,library,Shabbir Usmani Library,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9076,67.0259
5078977929,2005,post_office,Nazimabad Post Office,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9077,67.0261
5078977930,2502,bakery,Prince Bakery,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9081,67.0269
5078977931,2203,cinema,Nayab Cinema,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9078,67.0281
5078977952,2110,hospital,MS Hospital,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9041,67.0305
5078977953,2082,school,Rashid Minhas School,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9037,67.0298
5078977954,2502,bakery,Millat Bakery and Sweet,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9028,67.0238
5078977955,2541,car_dealership,Honda Nazimabad,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9027,67.0242
5078977957,2082,school,The Central Grammer Secondary School For Boys & Girls,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9028,67.0241
5078977962,2016,market_place,Chawala Market,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9064,67.0265
5078977963,2012,community_centre,,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9065,67.0306
5078977964,2301,restaurant,Bihari Kabab House Block 1,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9053,67.0277
5078977965,2016,market_place,KMC Meat Market Block 1,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9062,67.0279
5078977974,2016,market_place,Yaqoob Market Block 1,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9059,67.028
5078977996,2501,supermarket,Gulzar Center,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9047,67.0275
5078978270,2205,playground,Mujahid Ground,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9059,67.0262
5079172410,2082,school,Govt Boys Primary School,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9046,67.0335
5079172414,2502,bakery,Master Bakery,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9078,67.0346
5079173649,2110,hospital,Baqai Oncology,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9079,67.0351
5079173650,2110,hospital,Al Murtaza Hospital,0,SINDH,KARACHI,LIAQATABAD TOWN,24.9079,67.0358
5079310724,2601,bank,Tameer Bank,0,SINDH,KARACHI,GADAP TOWN,25.0363,67.1018
5079310726,2301,restaurant,Qazi Restaurant,0,SINDH,KARACHI,GADAP TOWN,25.0355,67.1017
5079337544,2110,hospital,Family Clinics,0,SINDH,KARACHI,GADAP TOWN,25.0398,67.1019
5079337545,2082,school,TCF School Taiser Town,0,SINDH,KARACHI,GADAP TOWN,25.0428,67.1027
5079337546,2256,stadium,Cricket Stadium,0,SINDH,KARACHI,GADAP TOWN,25.0431,67.1049
5079337547,2301,restaurant,Zahid Restaurant,0,SINDH,KARACHI,GADAP TOWN,25.0495,67.1044
